Wavelength,Flux,BestFit,SkyFlux
3801.894,98.447,-47.024,0.000
3802.769,98.426,-49.224,0.000
3803.645,98.406,-44.960,0.000
3804.521,98.385,53.065,0.000
3805.397,98.365,101.846,0.000
3806.274,98.344,76.811,0.000
3807.150,98.324,90.910,0.000
3808.027,98.304,86.888,0.000
3808.904,98.283,92.095,0.000
3809.781,98.263,97.093,0.000
3810.658,98.243,100.326,0.000
3811.536,98.222,102.316,0.000
3812.414,98.202,102.130,0.000
3813.291,98.182,104.275,0.000
3814.170,98.162,104.870,0.000
3815.048,98.142,101.843,0.000
3815.926,98.121,103.035,0.000
3816.805,98.101,109.035,0.000
3817.684,98.081,110.624,0.000
3818.563,98.061,104.874,9.490
3819.443,98.041,104.237,12.219
3820.322,95.519,103.904,11.638
3821.202,94.247,101.999,11.149
3822.082,94.633,101.586,10.718
3822.962,88.103,103.149,10.176
3823.843,86.170,97.915,9.486
3824.723,82.341,92.325,9.074
3825.604,78.779,88.907,8.396
3826.485,79.571,86.726,8.057
3827.366,73.690,82.612,7.938
3828.247,67.553,75.684,8.289
3829.129,66.147,71.705,9.339
3830.011,56.803,65.091,10.650
3830.893,53.840,59.663,11.778
3831.775,49.171,50.111,13.120
3832.657,45.703,37.970,12.329
3833.540,38.148,31.078,11.438
3834.423,25.924,24.528,10.380
3835.306,24.928,18.471,10.615
3836.189,27.818,21.884,10.442
3837.072,30.082,30.141,9.646
3837.956,37.889,38.158,8.647
3838.840,49.394,46.776,7.758
3839.724,56.611,56.257,7.504
3840.608,54.561,63.012,8.228
3841.493,63.104,70.182,9.233
3842.377,67.879,77.578,9.961
3843.262,69.217,83.800,10.441
3844.147,74.490,88.529,11.075
3845.032,75.583,92.422,11.567
3845.918,79.780,96.547,11.643
3846.803,90.155,101.345,11.149
3847.689,93.861,104.695,9.961
3848.575,98.235,106.815,8.958
3849.462,97.392,108.919,9.087
3850.348,92.515,107.825,10.149
3851.235,104.692,109.738,11.198
3852.122,102.860,110.027,11.864
3853.009,99.068,109.442,12.054
3853.896,99.810,110.610,12.241
3854.784,102.221,112.996,12.530
3855.671,103.058,112.717,12.325
3856.559,102.094,112.557,11.121
3857.447,103.839,112.735,9.644
3858.336,104.647,112.337,8.597
3859.224,104.451,112.802,8.060
3860.113,107.686,114.532,7.700
3861.002,111.035,111.514,7.843
3861.891,109.909,114.113,8.361
3862.780,111.585,115.352,9.162
3863.670,113.266,113.306,10.016
3864.560,109.342,112.013,10.585
3865.449,105.643,114.182,10.670
3866.340,106.680,114.020,10.633
3867.230,108.466,112.870,10.548
3868.121,101.433,110.810,10.882
3869.011,102.006,110.709,11.386
3869.902,106.220,111.589,10.727
3870.793,110.002,109.724,9.028
3871.685,104.568,108.221,7.586
3872.576,97.086,107.926,7.021
3873.468,96.857,105.568,7.579
3874.360,98.926,104.433,8.737
3875.252,94.869,104.980,9.875
3876.145,88.108,102.667,10.674
3877.037,98.641,97.664,10.735
3877.930,82.382,95.862,10.324
3878.823,76.895,92.934,9.257
3879.717,79.300,89.802,8.633
3880.610,74.015,86.356,8.188
3881.504,73.210,80.342,8.023
3882.398,71.398,74.899,7.957
3883.292,61.719,68.425,8.262
3884.186,59.249,61.600,9.013
3885.080,53.451,53.132,9.301
3885.975,47.602,44.050,9.262
3886.870,40.385,36.540,8.430
3887.765,33.186,27.301,7.913
3888.660,26.772,20.180,7.514
3889.556,27.895,18.910,7.359
3890.451,35.041,24.247,7.641
3891.347,40.778,33.642,8.169
3892.243,44.455,42.985,8.934
3893.140,50.974,50.964,10.234
3894.036,56.662,59.840,11.026
3894.933,57.014,66.869,10.740
3895.830,62.539,72.527,10.381
3896.727,67.800,78.406,10.091
3897.625,73.056,84.091,10.360
3898.522,77.434,87.300,10.225
3899.420,78.888,92.957,10.050
3900.318,82.140,95.555,10.352
3901.216,87.945,96.874,11.818
3902.114,91.889,99.507,13.372
3903.013,95.794,102.218,11.736
3903.912,96.180,103.904,10.658
3904.811,101.209,106.803,9.439
3905.710,92.920,109.606,10.218
3906.609,97.908,110.151,12.499
3907.509,100.563,111.148,14.404
3908.409,103.701,115.852,15.610
3909.309,107.833,116.561,16.087
3910.209,106.360,118.058,16.303
3911.110,105.133,116.641,16.290
3912.010,109.580,115.772,15.762
3912.911,109.660,116.870,15.107
3913.812,107.411,116.230,14.758
3914.714,104.395,115.218,14.455
3915.615,108.598,118.435,14.633
3916.517,107.871,117.889,15.117
3917.419,108.805,117.803,15.588
3918.321,111.578,120.349,15.596
3919.223,108.225,120.502,14.746
3920.126,107.506,119.695,12.914
3921.029,116.675,117.688,10.491
3921.931,110.167,118.975,9.755
3922.835,116.085,120.379,10.811
3923.738,115.034,119.852,11.136
3924.642,109.023,120.166,10.941
3925.545,113.166,121.409,10.707
3926.449,113.366,120.541,10.825
3927.354,112.201,118.212,11.154
3928.258,111.230,116.697,10.472
3929.163,108.022,115.984,8.757
3930.067,108.680,114.256,7.318
3930.972,111.304,112.280,6.269
3931.878,106.004,107.287,5.539
3932.783,94.785,100.673,5.621
3933.689,88.257,95.608,5.457
3934.595,93.887,95.785,5.015
3935.501,103.474,103.069,4.660
3936.407,109.909,112.567,4.956
3937.314,108.732,114.860,5.988
3938.220,109.245,114.057,7.336
3939.127,115.886,114.394,8.761
3940.034,114.897,116.078,9.900
3940.942,114.811,116.929,10.739
3941.849,107.323,116.892,11.077
3942.757,114.371,116.844,10.945
3943.665,110.917,116.515,10.513
3944.573,110.656,116.075,10.755
3945.481,106.528,116.838,11.307
3946.390,109.841,118.447,11.872
3947.299,112.887,115.493,11.834
3948.208,107.090,115.645,11.535
3949.117,107.147,115.141,12.236
3950.026,101.867,113.887,13.473
3950.936,102.000,113.508,13.941
3951.846,99.186,113.319,13.446
3952.756,99.653,111.109,12.888
3953.666,99.862,111.035,12.750
3954.577,95.425,110.063,12.855
3955.487,94.524,107.791,12.908
3956.398,92.612,105.185,12.494
3957.309,89.236,102.322,11.635
3958.221,90.212,98.983,10.767
3959.132,84.045,96.307,11.037
3960.044,74.233,93.309,12.555
3960.956,75.281,88.177,13.425
