Wavelength,Flux,BestFit,SkyFlux
2800.0,8.20,8.20,8.20
2805.0,9.90,9.90,9.90
2810.0,15.00,15.00,15.00
2815.0,21.20,21.20,21.20
2820.0,26.70,26.70,26.70
2825.0,30.30,30.30,30.30
2830.0,32.50,32.50,32.50
2835.0,32.30,32.30,32.30
2840.0,29.90,29.90,29.90
2845.0,25.02,25.02,25.02
2850.0,17.59,17.59,17.59
2855.0,15.50,15.50,15.50
2860.0,24.20,24.20,24.20
2865.0,33.30,33.30,33.30
2870.0,36.20,36.20,36.20
2875.0,33.90,33.90,33.90
2880.0,31.10,31.10,31.10
2885.0,32.50,32.50,32.50
2890.0,39.20,39.20,39.20
2895.0,47.90,47.90,47.90
2900.0,56.30,56.30,56.30
2905.0,60.60,60.60,60.60
2910.0,61.80,61.80,61.80
2915.0,59.80,59.80,59.80
2920.0,56.70,56.70,56.70
2925.0,52.90,52.90,52.90
2930.0,53.80,53.80,53.80
2935.0,54.90,54.90,54.90
2940.0,53.30,53.30,53.30
2945.0,52.00,52.00,52.00
2950.0,52.70,52.70,52.70
2955.0,55.90,55.90,55.90
2960.0,57.30,57.30,57.30
2965.0,52.10,52.10,52.10
2970.0,47.80,47.80,47.80
2975.0,52.90,52.90,52.90
2980.0,52.80,52.80,52.80
2985.0,46.80,46.80,46.80
2990.0,47.20,47.20,47.20
2995.0,50.10,50.10,50.10
3000.0,45.79,45.79,45.79
3005.0,43.30,43.30,43.30
3010.0,46.30,46.30,46.30
3015.0,47.76,47.76,47.76
3020.0,44.90,44.90,44.90
3025.0,50.80,50.80,50.80
3030.0,61.20,61.20,61.20
3035.0,64.60,64.60,64.60
3040.0,62.10,62.10,62.10
3045.0,62.60,62.60,62.60
3050.0,64.20,64.20,64.20
3055.0,61.10,61.10,61.10
3060.0,56.50,56.50,56.50
3065.0,57.50,57.50,57.50
3070.0,60.50,60.50,60.50
3075.0,63.10,63.10,63.10
3080.0,64.50,64.50,64.50
3085.0,64.05,64.05,64.05
3090.0,58.00,58.00,58.00
3095.0,50.00,50.00,50.00
3100.0,53.30,53.30,53.30
3105.0,65.20,65.20,65.20
3110.0,76.20,76.20,76.20
3115.0,74.40,74.40,74.40
3120.0,70.62,70.62,70.62
3125.0,67.60,67.60,67.60
3130.0,69.40,69.40,69.40
3135.0,72.40,72.40,72.40
3140.0,71.70,71.70,71.70
3145.0,67.60,67.60,67.60
3150.0,68.45,68.45,68.45
3155.0,63.20,63.20,63.20
3160.0,58.70,58.70,58.70
3165.0,64.90,64.90,64.90
3170.0,73.90,73.90,73.90
3175.0,80.19,80.19,80.19
3180.0,72.36,72.36,72.36
3185.0,68.00,68.00,68.00
3190.0,70.58,70.58,70.58
3195.0,73.32,73.32,73.32
3200.0,77.50,77.50,77.50
3205.0,82.60,82.60,82.60
3210.0,76.55,76.55,76.55
3215.0,71.90,71.90,71.90
3220.0,73.51,73.51,73.51
3225.0,71.15,71.15,71.15
3230.0,64.90,64.90,64.90
3235.0,68.14,68.14,68.14
3240.0,74.05,74.05,74.05
3245.0,78.80,78.80,78.80
3250.0,82.92,82.92,82.92
3255.0,91.38,91.38,91.38
3260.0,99.84,99.84,99.84
3265.0,101.66,101.66,101.66
3270.0,100.47,100.47,100.47
3275.0,98.68,98.68,98.68
3280.0,95.68,95.68,95.68
3285.0,93.40,93.40,93.40
3290.0,100.46,100.46,100.46
3295.0,109.58,109.58,109.58
3300.0,110.98,110.98,110.98
3305.0,104.29,104.29,104.29
3310.0,99.10,99.10,99.10
3315.0,99.40,99.40,99.40
3320.0,99.28,99.28,99.28
3325.0,98.00,98.00,98.00
3330.0,96.39,96.39,96.39
3335.0,93.70,93.70,93.70
3340.0,95.56,95.56,95.56
3345.0,98.86,98.86,98.86
3350.0,100.97,100.97,100.97
3355.0,97.45,97.45,97.45
3360.0,88.98,88.98,88.98
3365.0,82.90,82.90,82.90
3370.0,81.80,81.80,81.80
3375.0,87.73,87.73,87.73
3380.0,92.53,92.53,92.53
3385.0,95.78,95.78,95.78
3390.0,96.86,96.86,96.86
3395.0,98.90,98.90,98.90
3400.0,105.44,105.44,105.44
3405.0,104.63,104.63,104.63
3410.0,97.10,97.10,97.10
3415.0,95.90,95.90,95.90
3420.0,99.57,99.57,99.57
3425.0,102.77,102.77,102.77
3430.0,104.17,104.17,104.17
3435.0,98.30,98.30,98.30
3440.0,85.42,85.42,85.42
3445.0,81.30,81.30,81.30
3450.0,91.58,91.58,91.58
3455.0,97.02,97.02,97.02
3460.0,94.27,94.27,94.27
3465.0,95.59,95.59,95.59
3470.0,96.95,96.95,96.95
3475.0,93.32,93.32,93.32
3480.0,92.47,92.47,92.47
3485.0,93.72,93.72,93.72
3490.0,89.90,89.90,89.90
3495.0,91.97,91.97,91.97
3500.0,101.22,101.22,101.22
3505.0,108.49,108.49,108.49
3510.0,105.34,105.34,105.34
3515.0,101.29,101.29,101.29
3520.0,98.38,98.38,98.38
3525.0,92.60,92.60,92.60
3530.0,98.01,98.01,98.01
3535.0,107.52,107.52,107.52
3540.0,113.46,113.46,113.46
3545.0,114.40,114.40,114.40
3550.0,114.06,114.06,114.06
3555.0,109.64,109.64,109.64
3560.0,102.50,102.50,102.50
3565.0,95.91,95.91,95.91
3570.0,84.20,84.20,84.20
3575.0,85.02,85.02,85.02
3580.0,78.92,78.92,78.92
3585.0,73.10,73.10,73.10
3590.0,85.81,85.81,85.81
3595.0,103.21,103.21,103.21
3600.0,108.90,108.90,108.90
3605.0,102.65,102.65,102.65
3610.0,94.15,94.15,94.15
3615.0,91.80,91.80,91.80
3620.0,95.80,95.80,95.80
3625.0,104.50,104.50,104.50
3630.0,107.10,107.10,107.10
3635.0,103.80,103.80,103.80
3640.0,107.16,107.16,107.16
3645.0,105.90,105.90,105.90
3650.0,109.70,109.70,109.70
3655.0,120.41,120.41,120.41
3660.0,128.60,128.60,128.60
3665.0,128.43,128.43,128.43
3670.0,125.77,125.77,125.77
3675.0,123.17,123.17,123.17
3680.0,115.70,115.70,115.70
3685.0,114.59,114.59,114.59
3690.0,119.44,119.44,119.44
3695.0,127.95,127.95,127.95
3700.0,129.34,129.34,129.34
3705.0,116.60,116.60,116.60
3710.0,118.11,118.11,118.11
3715.0,122.49,122.49,122.49
3720.0,114.44,114.44,114.44
3725.0,108.76,108.76,108.76
3730.0,104.45,104.45,104.45
3735.0,93.90,93.90,93.90
3740.0,93.44,93.44,93.44
3745.0,92.50,92.50,92.50
3750.0,98.50,98.50,98.50
3755.0,108.74,108.74,108.74
3760.0,112.40,112.40,112.40
3765.0,110.40,110.40,110.40
3770.0,118.13,118.13,118.13
3775.0,131.49,131.49,131.49
3780.0,141.44,141.44,141.44
3785.0,137.65,137.65,137.65
3790.0,122.60,122.60,122.60
3795.0,109.80,109.80,109.80
3800.0,115.20,115.20,115.20
3805.0,123.10,123.10,123.10
3810.0,124.90,124.90,124.90
3815.0,112.24,112.24,112.24
3820.0,95.43,95.43,95.43
3825.0,82.31,82.31,82.31
3830.0,73.60,73.60,73.60
3835.0,71.10,71.10,71.10
3840.0,82.10,82.10,82.10
3845.0,98.62,98.62,98.62
3850.0,108.02,108.02,108.02
3855.0,102.96,102.96,102.96
3860.0,99.11,99.11,99.11
3865.0,102.79,102.79,102.79
3870.0,103.54,103.54,103.54
3875.0,101.86,101.86,101.86
3880.0,100.67,100.67,100.67
3885.0,99.74,99.74,99.74
3890.0,108.10,108.10,108.10
3895.0,119.58,119.58,119.58
3900.0,125.19,125.19,125.19
3905.0,126.01,126.01,126.01
3910.0,133.22,133.22,133.22
3915.0,134.90,134.90,134.90
3920.0,124.00,124.00,124.00
3925.0,103.12,103.12,103.12
3930.0,74.50,74.50,74.50
3935.0,59.12,59.12,59.12
3940.0,76.68,76.68,76.68
3945.0,105.57,105.57,105.57
3950.0,124.50,124.50,124.50
3955.0,132.45,132.45,132.45
3960.0,116.26,116.26,116.26
3965.0,84.33,84.33,84.33
3970.0,65.20,65.20,65.20
3975.0,96.14,96.14,96.14
3980.0,130.10,130.10,130.10
3985.0,153.42,153.42,153.42
3990.0,162.45,162.45,162.45
3995.0,167.17,167.17,167.17
4000.0,168.85,168.85,168.85
4010.0,175.20,175.20,175.20
4020.0,181.40,181.40,181.40
4030.0,174.00,174.00,174.00
4040.0,176.30,176.30,176.30
4050.0,171.50,171.50,171.50
4060.0,166.60,166.60,166.60
4070.0,163.00,163.00,163.00
4080.0,169.90,169.90,169.90
4090.0,180.90,180.90,180.90
4100.0,153.70,153.70,153.70
4110.0,171.50,171.50,171.50
4120.0,181.60,181.60,181.60
4130.0,173.92,173.92,173.92
4140.0,171.44,171.44,171.44
4150.0,176.88,176.88,176.88
4160.0,181.50,181.50,181.50
4170.0,176.60,176.60,176.60
4180.0,168.50,168.50,168.50
4190.0,174.90,174.90,174.90
4200.0,159.90,159.90,159.90
4210.0,181.10,181.10,181.10
4220.0,178.20,178.20,178.20
4230.0,172.10,172.10,172.10
4240.0,170.80,170.80,170.80
4250.0,175.50,175.50,175.50
4260.0,169.90,169.90,169.90
4270.0,163.80,163.80,163.80
4280.0,165.10,165.10,165.10
4290.0,152.30,152.30,152.30
4300.0,121.20,121.20,121.20
4310.0,109.90,109.90,109.90
4320.0,182.20,182.20,182.20
4330.0,169.13,169.13,169.13
4340.0,156.00,156.00,156.00
4350.0,170.90,170.90,170.90
4360.0,186.80,186.80,186.80
4370.0,190.00,190.00,190.00
4380.0,166.30,166.30,166.30
4390.0,160.10,160.10,160.10
4400.0,183.00,183.00,183.00
4410.0,179.90,179.90,179.90
4420.0,192.20,192.20,192.20
4430.0,194.90,194.90,194.90
4440.0,189.41,189.41,189.41
4450.0,196.50,196.50,196.50
4460.0,175.57,175.57,175.57
4470.0,199.00,199.00,199.00
4480.0,201.40,201.40,201.40
4490.0,200.10,200.10,200.10
4500.0,206.90,206.90,206.90
4510.0,214.20,214.20,214.20
4520.0,204.70,204.70,204.70
4530.0,188.64,188.64,188.64
4540.0,201.80,201.80,201.80
4550.0,200.10,200.10,200.10
4560.0,206.30,206.30,206.30
4570.0,207.70,207.70,207.70
4580.0,203.20,203.20,203.20
4590.0,201.20,201.20,201.20
4600.0,199.73,199.73,199.73
4610.0,206.39,206.39,206.39
4620.0,207.80,207.80,207.80
4630.0,208.40,208.40,208.40
4640.0,201.50,201.50,201.50
4650.0,198.40,198.40,198.40
4660.0,202.10,202.10,202.10
4670.0,193.10,193.10,193.10
4680.0,201.20,201.20,201.20
4690.0,201.80,201.80,201.80
4700.0,193.90,193.90,193.90
4710.0,196.90,196.90,196.90
4720.0,207.00,207.00,207.00
4730.0,198.82,198.82,198.82
4740.0,201.20,201.20,201.20
4750.0,208.00,208.00,208.00
4760.0,201.20,201.20,201.20
4770.0,202.50,202.50,202.50
4780.0,208.60,208.60,208.60
4790.0,204.00,204.00,204.00
4800.0,206.80,206.80,206.80
4810.0,206.10,206.10,206.10
4820.0,206.23,206.23,206.23
4830.0,203.10,203.10,203.10
4840.0,198.90,198.90,198.90
4850.0,197.90,197.90,197.90
4860.0,160.10,160.10,160.10
4870.0,178.90,178.90,178.90
4880.0,193.50,193.50,193.50
4890.0,182.24,182.24,182.24
4900.0,203.20,203.20,203.20
4910.0,194.90,194.90,194.90
4920.0,185.60,185.60,185.60
4930.0,198.30,198.30,198.30
4940.0,193.39,193.39,193.39
4950.0,205.10,205.10,205.10
4960.0,194.90,194.90,194.90
4970.0,198.00,198.00,198.00
4980.0,192.40,192.40,192.40
4990.0,192.30,192.30,192.30
5000.0,191.60,191.60,191.60
5010.0,185.80,185.80,185.80
5020.0,186.00,186.00,186.00
5030.0,194.90,194.90,194.90
