Wavelength,Flux,BestFit,SkyFlux
3800.144,4.020,5.252,0.000
3801.019,4.019,8.051,0.000
3801.894,4.018,8.733,0.000
3802.769,4.017,9.099,0.000
3803.645,4.016,9.625,0.000
3804.521,4.015,9.372,0.000
3805.397,4.014,9.528,0.000
3806.274,4.013,9.345,0.000
3807.150,4.013,9.101,0.000
3808.027,4.012,8.819,0.000
3808.904,4.011,8.773,0.000
3809.781,4.010,9.194,0.000
3810.658,4.009,9.638,0.000
3811.536,4.008,9.684,0.000
3812.414,4.007,9.728,0.000
3813.291,4.007,9.243,0.000
3814.170,4.006,8.568,0.000
3815.048,4.005,8.350,0.000
3815.926,4.004,8.094,0.000
3816.805,4.003,7.688,0.000
3817.684,4.002,8.040,0.000
3818.563,4.001,8.605,0.000
3819.443,4.001,8.720,0.000
3820.322,4.000,8.223,0.000
3821.202,3.999,7.446,0.000
3822.082,3.998,7.076,0.000
3822.962,3.997,7.570,0.000
3823.843,3.996,8.196,0.000
3824.723,3.995,8.165,5.773
3825.604,3.995,7.449,5.704
3826.485,3.177,6.891,5.842
3827.366,4.575,6.672,6.134
3828.247,6.572,6.793,6.762
3829.129,4.834,7.163,7.652
3830.011,8.669,7.558,8.731
3830.893,7.175,7.782,9.385
3831.775,2.835,7.852,9.460
3832.657,2.135,7.674,8.927
3833.540,3.414,7.268,8.575
3834.423,4.651,7.061,8.134
3835.306,4.826,7.188,7.756
3836.189,6.569,7.515,7.125
3837.072,9.187,7.946,6.373
3837.956,6.014,8.092,5.248
3838.840,8.071,7.679,5.014
3839.724,4.659,7.168,5.242
3840.608,1.718,6.903,5.380
3841.493,2.551,6.945,5.868
3842.377,5.591,7.351,6.276
3843.262,8.392,8.246,6.277
3844.147,6.807,8.860,5.746
3845.032,6.742,9.408,5.537
3845.918,10.679,9.619,6.233
3846.803,9.214,9.307,6.391
3847.689,13.020,9.468,6.076
3848.575,8.967,9.417,5.524
3849.462,9.735,9.047,5.069
3850.348,9.630,8.593,5.304
3851.235,10.650,8.294,5.657
3852.122,6.523,8.356,5.849
3853.009,6.425,8.824,6.065
3853.896,10.750,8.962,6.015
3854.784,7.503,8.815,5.637
3855.671,7.262,8.442,5.250
3856.559,7.933,8.037,5.030
3857.447,4.545,7.811,4.768
3858.336,5.700,7.704,4.253
3859.224,4.395,7.579,3.911
3860.113,5.313,7.151,3.745
3861.002,4.308,6.788,3.960
3861.891,4.936,6.955,4.416
3862.780,6.928,7.737,4.892
3863.670,6.804,8.647,5.096
3864.560,8.427,9.216,4.815
3865.449,6.412,9.082,4.380
3866.340,8.505,8.762,4.032
